0,1,cg_play,0,2
1,1,text_print,512,2
2,1,text_print,513,2
3,1,text_print,514,2
4,1,text_print,515,2
0,2,cg_play,2,2
1,2,text_print,520,2
2,2,text_print,521,2
3,2,text_print,522,2
0,3,cg_play,cg_1,2
1,3,cg_play,cg_2,2
2,3,text_print,500,2
3,3,text_print,501,2
4,3,text_print,502,2
5,3,text_print,503,2
6,3,text_print,504,2
7,3,text_print,505,2
8,3,text_print,506,2
0,4,cg_play,3,2
1,4,text_print,526,2
2,4,text_print,527,2
3,4,text_print,528,2
4,4,text_print,529,2
5,4,text_print,530,2
6,4,text_print,600,2
0,5,text_print,500,2
