0,옵바야들 애기븝미 무슨팬티입엇게얌~,애기븝미야 그러고보니 너 로아짤도/ 돌아다니 던대 그것도 너 맞냐?
1,정답은 안입은거시에오 호에에에엥/ 븝미짱 깜빡하고 안입엇서얌 하와앙★,여런 미비3칭호 ㅅㅅㅅㅅㅅ 추천인 130 선받고/ ㅍㅍㅍㅍㅍㅍㅍㅍㅍㅍㅍㅍㅍㅍ
2,하 형님들 죄송합니다 약먹을시간 /지나가지고 정신이 나가버렸었나봐요../약금방먹고올게요 ㄷㄷ,우럭(엘레멘탈 바머)이벤압 극화듀or극화 /사봅니다 ㅅㅅㅅㅅㅅㅅ
3,그약은 바로 애기븝미가 /되는약! 호에에엥 13살 애기븝미가 /되어버렸서얌 븝-하★,후후후...븝미짱...아아../븝미.사.랑.스.러.운 븝미짱.
4,멋진 레이디에게는 비밀 한개나 두개쯤 있는 법이람니다★,오예 븝★미 퀴즈~
5,애기븝미쟝의 정체를 궁금해하는/ 옵바야들이 있는거시에오@@@,애기븝미쟝 82톤이라 스레니콘 못버티고 떨어진듯..
6,애기븝미쟝의 정체를 궁금해하는/ 옵바야 들이 있는거시에오@@@/ 옵바야들만 특별히 알랴줄께얌!!,애기븝미쟝 아조시랑 비밀친구할래?
7,애기븝미쟝의 정체는 말이조@@/호엥 사재기끈인거시에오(속닥속닥),아조시랑 결혼하면 테라니움 손에 안묻히게 해줄게~
8,호에에엥,5252믿고 있었다구 뭐냐구~/ 쥐엔장! 믿고 있었다구
9,아라드 옵바야들의 사랑을 모조리~쓸어담는!!/ 애기븝미쟝은 사랑의 사재기꾼☆,븝미야 나 낼 모래 군대간다...
10,오늘도 옵바야들의 사랑을/ 최저가로 매★입★,신레어압 삽니다 벨트 하의 삽니다~~~~~~~~~~~~~~~~~~
11,오랜만에 븝퀴(븝미-퀴즈) 나갈꼐얌!! /맞추는 옵바야들에겐 하와와를 드려얌☆,메가폰 3개 팝니다~~
12,다음 문제 나갈게얌! /옵바야들이 좋아하는 AV는 무엇의 약자일까얌?/(힌트-옵바야들 맨날봐얌@@),아니 두개
13,정답은@@ 옵바야들이 맨날 보는 /AV는 A(애기)V(븝미)의 약자람니다☆/그렇게 보면 부끄러워얌!!,어...?
14,븝퀴(븝미-퀴즈)새들은 커여운 울음소리를/ 내는데 애기븝미쟝의 울음소리는 무엇일까얌??,내가 로리를 좋아한다고? /아니 내가 좋아하는 그녀가 로리였을뿐@@@@
15,1.응애 2.호에엥 3.하와왕 4.에구구/ 5.오늘따라 소주가 쓰다,방귀 뀌지마를 영어로 하면? 돈까스 ㅋㅋㅋ
16,정답은~ 두구두구~ 애기븝미쟝은 굳쏀 레이디라서/ 울지 않는담니다!! 옵바야들 모두 오답이에얌☆,I'am the born of my sword steal@ /is my body fire is my blood...
17,옵바야들 오늘도 /다함께 하와와한 하루보내얌/ ☆애기븝미쟝은 오늘도 하와와~☆,so as i pray Unlimited Blade works
18,스레니콘쟝 븝미쟝 태우고/ 날아다니다가 아파서 같이 떨어졋담니다@@,0
19,애기븝미쟝은 무려 0클인거시에오,0
20,하지만 븝미쟝 룩압만 입어도/ 옵바야들이 레이드 데려가준댓서얌@@,0
21,설마 옵바야들 거짓말한건 아니엇겟저@@?,0
22,호고곡@@@낼모래 군대가는 옵바야가/ 있는거시에오@@ 지금가면 유격두번인거 알제?,0
23,여러분 모두! 븝☆하,0
24,저는 여러분의 귀여운 아이돌/ 븝미쟝인거와요~ 하와와,0
25,옵바야들 븝-하★ 아라드의 국민여동생 /13살 애기븝미쟝 왓서얌! 호에에,0
26,:옵바야들의 하와와한 응원 잘 받았서얌@@/ 애기븝미쟝 오늘도 힘내서 븝풍당당☆,0
27,:오늘도 다함께/ 하와와한 하루 힘내보자구얌!! /애기븝미쟝도 호에에한 하루 보낼게얌☆,0
28,"모두가""네""라고 할때 호에엥이라고 /말할 수 있는 멋진 레이디 바로 애기븝미쟝이에얌!!/ 호에에",0
29,차단한다는 옵바야들이 있찌만@@/ 애기븝미쟝은 장난인거 알고잇서얌!! /옵바야들은 장난꾸로기~★,0
30,ㅡㅅㅡ!!애기븝미쟝 13살이지만 /알건 다아는 어였한 레이디라구얌!!,0
31,:븝-하☆,0
32,정말@@옵바야들도 참! /애기븝미쟝이 찐이건 짭이건 모가중요함니가!,0
33,옵바야들의 여동생인게 중요한거신데,0
34,븝미쟝 더럽지 않아얌@@/ 매일매일 샤워 한다구얌 -ㅅ- /애기븝미쟝 훌륭한 레이디얌!!,0
35,이브때도 이짓하면 /자괴감 안드냐는 옵바야가 있는거시에오@@,0
36,애기븝미쟝은 옵바야들의 /뒷바라지를/ 위해서 자괴감따위 모두 극복했다구♪,0
37,맞아얌@@ 애기븝미쟝은 친구가 없고 /옵바야들밖에업는거시에오!! /모두의 여동생인결료 호에엥ㅇ,0
38,다음문제 나갈께얌!! 븝퀴(븝미-퀴즈) /호의가 계속되면 ㅁ이다@ /네모안에 들어갈 말은 무엇일까얌??,0
39,정답은~~ 호의가계속되면 호에엥인거시에오/ -ㅅ-다들 쏘리질러/ 호에에에에에에엥에에에에엥ㅇㅇ,0
40,하와와~~ 오늘은 븝퀴(븝미-퀴즈)가 없는거시에오-ㅅ-/ 대신 븝퀴랑 토크 시간을 가져보는것이와요/ 호에에엥,0
